claim_id,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud
1,102,48,FL,250/500,2000,1160.561334537816,0,FEMALE,High School,Craft-repair,Chess,unmarried,87199.23739971334,73897.6595938536,Parked Car,Side Collision,Total Loss,Fire,VA,Springfield,10,3,NO,3,1,NO,68274.18030808638,794.4023415912993,17613.48643255402,72400.86107849672,Volkswagen,2023,1
2,435,41,IL,100/300,1000,1323.1697888945175,0,MALE,College,Adm-clerical,Exercise,own-child,25066.20347114671,25165.281560830586,Vehicle Theft,Rear Collision,Total Loss,None,WV,Springfield,11,3,YES,3,3,YES,78856.52569076749,21881.32733624111,497.32415056764626,55291.824055714875,Chevrolet,1997,0
3,348,52,TX,100/300,500,1694.4285244142015,1000000,FEMALE,High School,Craft-repair,Movies,not-in-family,85817.83863106291,89676.00477056256,Vehicle Theft,Unknown,Minor Damage,Fire,OH,Columbus,21,2,NO,0,0,Unknown,104413.72427385436,11575.506276121063,12262.988589465838,18304.271903756067,Chevrolet,2013,0
4,270,61,CA,100/300,1000,1374.6015266332156,1000000,FEMALE,Masters,Adm-clerical,Camping,wife,49763.82118376918,56142.16779983453,Single Vehicle Collision,Front Collision,Total Loss,Police,OH,Riverwood,2,2,NO,1,3,YES,121954.54825518388,18339.23296177769,5604.904056983777,10014.928971165287,Toyota,2009,1
5,106,62,NY,250/500,2000,1940.327108574237,0,MALE,PhD,Exec-managerial,Reading,other-relative,59493.02374008253,53783.1711172414,Vehicle Theft,Rear Collision,Minor Damage,Police,NY,Columbus,23,3,YES,2,3,NO,99087.98228555472,9286.142162650132,29013.555255379044,77404.98276330146,BMW,2016,0
6,71,51,IL,100/300,1000,1490.5037457711915,1000000,FEMALE,JD,Exec-managerial,Chess,husband,84060.06225041451,26475.223506620958,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,8,2,YES,0,1,NO,146635.0530865689,4773.151174579472,17481.87477750931,21198.39847830147,Saab,2007,0
7,188,20,CA,250/500,1000,1284.0641811014016,2000000,MALE,College,Prof-specialty,Exercise,wife,2958.2844545237517,83509.43401299257,Multi-vehicle Collision,Side Collision,Total Loss,None,VA,Northbrook,13,4,Unknown,3,2,YES,123063.47687584328,21705.375542678474,26042.864064909678,1905.410517907044,Audi,2011,1
8,20,54,CA,100/300,500,535.3879516711938,0,MALE,JD,Craft-repair,Exercise,other-relative,36294.25921756457,57274.955087150134,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,PA,Springfield,6,3,YES,2,3,YES,116685.45058887734,27138.611408102603,5870.699603088361,57896.89952306726,Ford,2015,0
9,102,60,IL,100/300,1000,1120.5993463704947,0,MALE,High School,Adm-clerical,Movies,husband,81569.33772444657,15551.654790522596,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Northbrook,10,2,NO,3,3,NO,126842.6860576633,5507.473311001048,24300.470979713635,13844.391154801731,Mercedes,2019,1
10,121,57,NY,250/500,1000,948.8726288902407,0,FEMALE,High School,Machine-op-inspct,Exercise,unmarried,81395.47838017231,20629.82372447626,Vehicle Theft,Front Collision,Minor Damage,Ambulance,OH,Columbus,9,3,YES,0,3,NO,42541.03484594019,27621.090036108017,12443.473839156999,89188.18679683532,Ford,2019,0
