claim_id,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,property_type,incident_cause,location_risk_score,security_system_present,asset_value,total_claim_amount,fraud
1,215,45,CA,250/500,1000,825.1235252323535,0,FEMALE,High School,Adm-clerical,Exercise,wife,60354.00396867366,5770.824665981911,C,A,C,C,C,53682.68629281103,0
2,316,68,NY,100/300,500,1422.8942643319497,0,MALE,PhD,Craft-repair,Reading,husband,89430.69605448982,7646.799348202793,C,C,A,C,B,63945.44898296504,0
3,154,35,CA,250/500,1000,1894.2243015458737,0,MALE,College,Adm-clerical,Camping,wife,38898.86747793673,68972.58256415592,A,B,C,C,A,86504.07544710822,0
4,70,70,FL,100/300,500,1629.3977130070753,0,FEMALE,High School,Exec-managerial,Camping,not-in-family,34984.41004323327,92314.84632050982,A,A,B,A,B,39192.920406663616,0
5,33,63,CA,250/500,500,1321.4586357836647,0,MALE,Masters,Adm-clerical,Movies,husband,70004.90084391371,17528.39453131262,C,A,C,A,B,10906.245950920109,0
6,252,31,NY,100/300,1000,964.8864568053715,0,FEMALE,High School,Prof-specialty,Movies,wife,40707.97320645109,86426.87193387552,B,A,C,A,B,84175.6998466679,0
7,195,30,NY,250/500,500,1454.8076340407742,0,FEMALE,PhD,Craft-repair,Exercise,husband,38122.29565310169,65298.789320763695,C,B,C,B,A,6742.8916814644,1
8,1,36,NY,500/1000,500,1571.605670166767,0,FEMALE,JD,Exec-managerial,Camping,not-in-family,46604.85435906452,67669.02570295095,C,A,C,A,B,91898.01745839523,0
9,406,61,FL,500/1000,500,1456.6551686162738,0,MALE,Masters,Prof-specialty,Reading,own-child,11472.852164655955,69763.53106428031,C,B,C,C,B,72332.07161038638,1
10,367,68,TX,500/1000,500,1633.1280677714888,0,MALE,College,Adm-clerical,Movies,other-relative,20282.65395494888,6222.944019862575,C,C,A,A,C,44820.436607461466,0
11,291,49,TX,500/1000,500,918.8708232413154,0,FEMALE,Masters,Machine-op-inspct,Exercise,husband,60332.21810678992,60383.30231128026,C,B,C,C,C,61728.260041294256,0
12,246,60,TX,500/1000,500,1261.7166828401855,0,MALE,PhD,Adm-clerical,Chess,wife,60845.54023914076,48329.90236956546,A,A,C,C,B,53736.01688023239,0
13,469,50,IL,250/500,2000,1323.0073897879715,0,MALE,College,Exec-managerial,Chess,unmarried,59024.07661177006,83658.55594609874,C,C,C,C,B,40455.751698003696,1
14,393,23,TX,500/1000,2000,634.8275063403096,0,MALE,PhD,Machine-op-inspct,Chess,wife,19980.15796496154,42813.13065312896,A,A,B,B,A,13290.741619397642,0
15,489,47,FL,250/500,500,764.8166520695722,0,FEMALE,Masters,Adm-clerical,Chess,other-relative,43557.83469921446,50951.963700550376,A,B,A,B,B,80929.57376801201,0
16,226,27,FL,250/500,500,959.9339483859112,0,FEMALE,High School,Exec-managerial,Movies,wife,92100.69455435475,58047.35478742182,C,C,C,C,A,58980.95311502929,1
