claim_id,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,destination_risk,trip_duration_days,incident_category,travel_insurance_type,booking_lead_time_days,total_claim_amount,fraud
1,41,62,TX,500/1000,2000,782.490981605007,0,MALE,JD,Exec-managerial,Chess,husband,48068.12714276487,42941.41637091755,A,A,A,C,A,6545.568920884633,0
2,102,19,CA,250/500,1000,855.1078377600467,0,FEMALE,College,Machine-op-inspct,Chess,unmarried,26151.737368536855,54235.72446187908,C,B,A,B,B,3556.4872042734864,0
3,449,68,TX,100/300,2000,1733.7988577234598,0,MALE,High School,Prof-specialty,Movies,unmarried,65680.3529305622,52093.51696081511,B,B,A,C,B,347.17913240918983,0
4,419,65,CA,500/1000,1000,1694.5481748316386,2000000,MALE,College,Machine-op-inspct,Reading,wife,34335.68791233255,69959.93441690227,C,B,A,C,B,6817.309854143172,0
5,250,62,NY,100/300,1000,1260.801316607733,0,FEMALE,High School,Prof-specialty,Camping,other-relative,70748.30089825501,85404.58260683033,C,A,C,C,B,3509.9860265992425,1
6,207,61,TX,500/1000,2000,1725.1582106804071,0,MALE,High School,Exec-managerial,Reading,unmarried,81086.3550356325,87107.26926772935,B,A,B,A,B,2583.5336054917784,0
7,30,22,FL,250/500,1000,1981.6517479750964,0,FEMALE,JD,Machine-op-inspct,Movies,husband,49428.25599384611,30176.003236817673,A,C,B,C,C,6104.2640786631455,0
8,189,52,FL,100/300,1000,719.9497076378652,0,MALE,Masters,Exec-managerial,Chess,wife,67679.36693558136,62867.77822543235,B,B,B,C,A,8831.740695121247,0
9,171,68,CA,250/500,500,940.7909053479544,0,MALE,College,Craft-repair,Camping,husband,91555.03750141346,96491.60117974339,B,B,A,A,B,4859.135003241144,0
10,348,74,NY,250/500,2000,1628.0653720011508,1000000,MALE,PhD,Craft-repair,Camping,not-in-family,86910.6503993879,55727.54248425274,B,B,B,C,C,8655.258495276292,0
11,355,45,FL,100/300,500,1631.0740354749546,0,FEMALE,Masters,Prof-specialty,Reading,own-child,37590.638375822746,63831.7066117351,A,C,C,B,A,9196.59363701773,0
12,462,18,FL,100/300,2000,1041.8806469781503,0,FEMALE,PhD,Machine-op-inspct,Exercise,husband,80895.30675045624,82292.00397042993,A,C,C,B,C,9416.321689662613,0
13,217,34,CA,100/300,2000,906.9558650983201,0,MALE,High School,Adm-clerical,Camping,other-relative,51661.86398447411,12938.375507708832,A,C,A,A,A,3966.790936200599,0
14,289,39,IL,250/500,500,642.0932713875268,0,MALE,JD,Adm-clerical,Chess,unmarried,27875.137177455457,17280.184727200744,A,A,B,A,C,5606.930474477588,1
15,307,65,TX,250/500,2000,765.3376570699083,5000000,MALE,Masters,Exec-managerial,Movies,own-child,38428.967282215985,90196.2846091952,C,A,C,B,B,313.40147305071343,0
16,297,19,TX,100/300,1000,1818.2136396603596,0,FEMALE,Masters,Machine-op-inspct,Exercise,own-child,57674.38441614656,94466.058137785,A,C,C,A,C,7583.303818998688,0
17,115,72,NY,250/500,500,1465.430182753793,5000000,FEMALE,High School,Prof-specialty,Camping,not-in-family,61867.17342092527,24262.08941711985,B,A,A,C,B,8919.303377218916,1
