claim_id,age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud
1,56,FL,2000,1227.0444306950703,0,MALE,Masters,Other-service,other-relative,88864.21138365172,22092.451723886632,Parked Car,Front Collision,Total Loss,Fire,10,4,NO,1,2,YES,14812.346057811936,6043.203897670988,24599.394242473107,3367.2909051801867,Mercedes,2017,0
2,69,CA,1000,748.6618102449136,2000000,FEMALE,High School,Priv-house-serv,other-relative,48384.99700332233,38534.59853801169,Multi-vehicle Collision,Unknown,Major Damage,Police,2,1,NO,2,0,YES,50586.10631795181,29813.10127033088,11521.421482725731,756.7952997224129,BMW,2001,0
3,46,FL,500,1918.5472205004235,5000000,FEMALE,Masters,Priv-house-serv,husband,72842.24872994382,13200.64230359465,Multi-vehicle Collision,Front Collision,Total Loss,Police,2,1,YES,1,1,Unknown,64045.054123438116,14784.752276984576,18296.127547690674,21391.311678007813,BMW,2015,0
4,32,IL,2000,1774.9630572209928,1000000,FEMALE,JD,Other-service,unmarried,31645.457653345766,269.92710918387064,Single Vehicle Collision,Front Collision,Trivial Damage,Police,21,3,YES,2,1,YES,17520.47920706849,17185.980119005577,15064.801674684446,16990.96766788818,Chevrolet,2003,0
5,60,IL,500,1503.5335059936624,5000000,FEMALE,PhD,Protective-serv,husband,34218.64057586574,33425.24505754914,Multi-vehicle Collision,Rear Collision,Total Loss,None,4,4,YES,0,1,NO,86112.85147480998,4992.605565673576,21555.99878910109,31943.45201611969,Ford,2012,1
6,25,IL,500,1193.4433415009107,5000000,FEMALE,College,Protective-serv,wife,19446.351918231376,48631.33022162763,Multi-vehicle Collision,Rear Collision,Total Loss,Police,21,2,YES,2,2,Unknown,53435.341127004656,26830.06826275589,4684.9487696270635,21934.8352241313,Toyota,1998,0
7,38,IL,1000,1117.6483123767628,1000000,FEMALE,College,Handlers-cleaners,other-relative,56194.81099932393,30341.328179429143,Parked Car,Unknown,Major Damage,Police,22,1,YES,0,3,YES,41388.712405454426,6937.9289894733865,27613.231094508563,37499.88871359791,Volkswagen,1996,0
8,56,NY,2000,1476.4602007264311,1000000,FEMALE,PhD,Exec-managerial,wife,31456.415092736523,5996.092946356507,Multi-vehicle Collision,Side Collision,Trivial Damage,None,10,4,YES,1,2,YES,60404.34045624099,5689.4289005860965,19308.98392650106,8247.561555009443,BMW,2018,0
9,36,IL,500,1318.1478041103583,1000000,MALE,High School,Adm-clerical,other-relative,8437.089643850504,16036.654617233653,Vehicle Theft,Side Collision,Total Loss,None,2,1,Unknown,1,3,NO,63677.89444074278,6843.672099609846,8128.611947403218,39610.938445209074,Ford,2022,1
10,40,TX,500,593.4096588228284,1000000,FEMALE,High School,Exec-managerial,other-relative,68500.60866631787,43382.08073601117,Parked Car,Unknown,Minor Damage,Ambulance,12,3,Unknown,2,2,Unknown,4756.936457887517,27588.65107923026,3697.611244141771,12267.8081753282,Dodge,2021,0
11,28,TX,2000,1268.7539731554975,2000000,FEMALE,Masters,Priv-house-serv,own-child,70775.32076053982,11628.40371284143,Parked Car,Unknown,Total Loss,None,20,4,Unknown,0,1,Unknown,99989.3203371524,21085.401215305475,4491.76692438571,25875.746956145584,Toyota,1995,1
12,28,NY,500,1709.6054258492593,2000000,FEMALE,PhD,Priv-house-serv,wife,35999.241877905784,30384.7951748804,Parked Car,Side Collision,Total Loss,Fire,7,4,NO,0,1,YES,36709.997892045314,23057.89183470825,23479.887806883242,20323.221687857727,Volkswagen,2019,0
13,41,IL,500,1188.859816395437,2000000,FEMALE,High School,Priv-house-serv,wife,7672.33994560228,20133.56041269989,Single Vehicle Collision,Front Collision,Trivial Damage,None,19,3,YES,2,1,NO,6623.493367534671,11311.090745527583,17643.30159938874,14703.267849345351,Dodge,2006,0
14,70,IL,2000,577.9348663314026,2000000,MALE,PhD,Exec-managerial,own-child,42629.77174034259,10392.18607098245,Parked Car,Unknown,Total Loss,None,9,2,YES,0,0,NO,85306.15589016376,27275.31044791684,11422.7487215455,6002.712738985141,Ford,2007,1
15,53,IL,2000,1679.4172990760496,0,MALE,JD,Adm-clerical,unmarried,44233.545805021546,40670.34467823398,Multi-vehicle Collision,Front Collision,Minor Damage,Police,1,1,Unknown,0,0,NO,99305.35858162507,23682.238570181693,9987.0253856064,5825.948982362361,Mercedes,2008,0
16,57,FL,2000,802.0456732039615,2000000,MALE,College,Handlers-cleaners,wife,66867.0884897893,37141.563823284516,Vehicle Theft,Unknown,Trivial Damage,Ambulance,3,3,NO,0,3,NO,81727.67166700098,22517.920875219635,25672.740132015904,28604.480181438717,Chevrolet,1999,0
17,41,CA,2000,887.9312523320582,1000000,MALE,College,Exec-managerial,husband,31541.639125868347,33079.55329796327,Parked Car,Unknown,Major Damage,Police,17,4,Unknown,1,0,NO,85262.30774105465,29128.20851018855,26242.87571344383,15416.834627564298,Chevrolet,2021,0
18,20,FL,1000,747.0595301484439,5000000,MALE,College,Adm-clerical,own-child,68259.92797813054,11816.82951343756,Parked Car,Front Collision,Minor Damage,Ambulance,18,3,YES,1,2,NO,62780.54386483537,10985.904923800459,17437.86115257879,38471.269978251235,Volkswagen,2022,0
19,39,CA,2000,995.3225973072463,2000000,MALE,PhD,Protective-serv,wife,87148.85417573883,4892.850135822502,Vehicle Theft,Front Collision,Trivial Damage,Police,3,4,YES,1,2,Unknown,92271.39503298282,18329.209403876433,15736.32196995109,13363.115217000353,Dodge,1997,0
20,70,IL,1000,1635.1272585329525,0,FEMALE,PhD,Protective-serv,unmarried,23748.604236219984,28807.96649129831,Parked Car,Side Collision,Total Loss,Fire,19,3,Unknown,0,3,YES,4055.98589688302,27297.890969316486,24493.441262297147,39349.18700904453,Ford,2022,0
21,19,IL,1000,1279.078789255906,1000000,MALE,Masters,Priv-house-serv,wife,97891.95561198998,27683.891676971667,Single Vehicle Collision,Unknown,Total Loss,Police,8,2,Unknown,1,3,YES,76789.024363943,23726.668295578576,22480.05539383126,8614.218635512878,Ford,2021,1
22,41,FL,1000,807.3219112260688,5000000,MALE,College,Other-service,other-relative,38636.8137136807,9419.25046674365,Multi-vehicle Collision,Rear Collision,Trivial Damage,Police,15,4,YES,0,1,NO,67235.66771924052,16901.36874676845,12009.755499833653,4561.168256126615,Mercedes,1998,0
23,61,FL,500,1816.7451172280612,5000000,FEMALE,Masters,Priv-house-serv,husband,26725.868514706173,2812.334715758624,Vehicle Theft,Rear Collision,Total Loss,Fire,5,3,Unknown,0,0,Unknown,5433.704567138223,2286.4105434059657,2482.16054252571,12846.504474156807,Audi,2011,0
24,47,CA,1000,1819.3727824272937,2000000,MALE,College,Other-service,own-child,42151.11825102905,4035.422709699299,Vehicle Theft,Unknown,Minor Damage,Fire,3,2,YES,2,1,Unknown,54625.3711081597,19581.7031866702,23055.003220883336,35480.599182429265,Chevrolet,2013,0
25,55,TX,1000,1805.8676375690104,5000000,FEMALE,Masters,Adm-clerical,other-relative,9439.747590385916,49638.54932563669,Single Vehicle Collision,Unknown,Total Loss,None,8,2,Unknown,0,0,NO,51748.504402908016,15796.666706035565,5061.030868207313,21113.151807563747,Audi,2005,0
26,19,CA,500,858.1943170723089,2000000,FEMALE,Masters,Protective-serv,unmarried,12570.590651211565,39179.194737144186,Multi-vehicle Collision,Unknown,Major Damage,Police,12,1,NO,1,0,YES,69307.65539515918,5525.413844538793,491.3071943543501,5858.179184519719,Audi,2002,0
27,38,FL,500,1176.8590162714822,2000000,MALE,JD,Exec-managerial,other-relative,41443.40469683314,46099.37379825863,Single Vehicle Collision,Front Collision,Minor Damage,Fire,8,4,YES,1,3,NO,8214.375455112668,26467.59370027792,25299.080256119723,8498.712459361754,Mercedes,2006,0
28,50,FL,500,1977.4844842113125,1000000,FEMALE,Masters,Other-service,other-relative,76244.45219391001,9752.736111818167,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,5,1,NO,0,1,Unknown,80625.239140177,10297.457846962297,17347.615360101558,12794.79615490775,Audi,2012,1
29,29,NY,2000,1658.0187144649856,1000000,MALE,PhD,Adm-clerical,unmarried,90031.2239574491,48028.426816171755,Single Vehicle Collision,Rear Collision,Total Loss,None,20,2,Unknown,1,1,NO,14370.642480144716,11624.396805518909,26749.981066072753,23811.58614360196,Audi,2012,1
30,39,FL,500,540.7511318383397,0,MALE,Masters,Protective-serv,other-relative,66481.79907162709,7132.717573658104,Parked Car,Rear Collision,Total Loss,Ambulance,18,1,NO,0,0,YES,42157.12903945633,20172.04646389232,14537.642495928541,13628.968125166017,Mercedes,2003,1
