claim_id,age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_year
5000,21,NY,500,1352.2344268776633,1000000,FEMALE,College,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,6,3,YES,1,2,YES,73491.79973413581,BMW,2019
5001,55,NY,1000,967.5466277143034,0,FEMALE,College,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,15,1,YES,2,3,YES,78751.10979491618,BMW,2014
5002,60,NY,1000,1728.8781834957358,1000000,MALE,Masters,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,3,3,YES,0,3,YES,89319.74298615368,BMW,2020
5003,29,NY,500,1342.087698817922,1000000,FEMALE,College,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,11,1,YES,0,3,YES,42245.66548024498,BMW,2011
5004,60,CA,500,841.7585312942399,0,FEMALE,College,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,YES,0,1,YES,33700.800461796534,BMW,2020
5005,38,TX,500,1324.876839962013,1000000,FEMALE,College,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,2,YES,0,3,YES,68655.46135663457,BMW,2017
5006,24,TX,1000,1440.142540514325,0,FEMALE,College,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,20,2,YES,0,2,YES,61507.43923716888,BMW,2017
5007,25,CA,1000,1600.6581636464107,0,FEMALE,Masters,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,20,1,YES,1,3,YES,66651.84951093444,BMW,2011
5008,21,TX,1000,1634.9188516906102,1000000,FEMALE,Masters,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,9,2,YES,1,3,YES,69181.68105731954,BMW,2014
5009,43,NY,500,1052.6322301523826,1000000,FEMALE,Masters,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,2,1,YES,2,2,YES,69350.50713720878,BMW,2018
5010,55,NY,1000,1768.273512775284,0,MALE,College,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,7,2,YES,0,2,YES,24980.41608327936,BMW,2018
5011,69,CA,500,1266.2381347098421,0,MALE,Masters,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,21,2,YES,2,3,YES,12488.356813998042,BMW,2023
5012,21,TX,1000,1064.091169854872,1000000,MALE,Masters,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,5,2,YES,0,2,YES,50036.01499037862,BMW,2020
5013,68,CA,1000,1349.3784178160718,1000000,MALE,College,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,1,1,YES,2,1,YES,89609.23422668643,BMW,2022
5014,49,CA,1000,1177.3337872453967,1000000,MALE,College,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,21,3,YES,1,3,YES,71102.32329880416,BMW,2023
5015,58,NY,1000,1003.7283479831945,1000000,FEMALE,Masters,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,16,2,YES,2,2,YES,19802.693308781105,BMW,2020
5016,63,CA,1000,1715.462498979845,0,MALE,College,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,2,3,YES,1,1,YES,10985.609786916073,BMW,2016
5017,43,CA,1000,1739.1774228853117,1000000,MALE,Masters,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,7,3,YES,0,3,YES,57475.36822969961,BMW,2022
5018,22,TX,1000,1637.4935925752548,1000000,MALE,College,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,0,2,YES,0,2,YES,57496.048665276205,BMW,2019
5019,20,TX,500,1232.789335191107,0,FEMALE,College,Exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,2,YES,0,2,YES,65692.82086507452,BMW,2023
